iter	Passed	Remaining
811	11340	686985
812	11354	686967
813	11366	686842
814	11380	686805
815	11393	686707
816	11403	686472
817	11417	686491
818	11431	686486
819	11445	686447
820	11459	686421
821	11472	686343
822	11483	686161
823	11496	686093
824	11508	685999
825	11518	685719
826	11527	685394
827	11542	685466
828	11556	685430
829	11566	685207
830	11575	684896
831	11582	684492
832	11597	684556
833	11606	684218
834	11619	684154
835	11633	684148
836	11646	684078
837	11660	684073
838	11674	684084
839	11689	684095
840	11699	683889
841	11716	684057
842	11730	684030
843	11741	683847
844	11757	683953
845	11769	683836
846	11782	683747
847	11791	683438
848	11804	683387
849	11819	683461
850	11827	683108
851	11839	682975
852	11854	683020
853	11864	682801
854	11878	682789
855	11885	682371
856	11897	682267
857	11912	682279
858	11925	682250
859	11938	682152
860	11952	682136
861	11964	682050
862	11980	682130
863	11989	681848
864	12001	681721
865	12014	681683
866	12022	681317
867	12028	680835
868	12035	680472
869	12047	680355
870	12060	680272
871	12072	680165
872	12083	680009
873	12095	679878
874	12104	679590
875	12116	679447
876	12130	679472
877	12141	679291
878	12153	679150
879	12164	678990
880	12176	678887
881	12191	678949
882	12204	678867
883	12217	678836
884	12228	678631
885	12237	678362
886	12249	678244
887	12262	678185
888	12275	678110
889	12286	677956
890	12295	677715
891	12305	677483
892	12315	677217
893	12326	677083
894	12345	677350
895	12359	677345
896	12371	677244
897	12385	677233
898	12401	677354
899	12414	677273
900	12427	677228
901	12439	677128
902	12448	676862
903	12459	676659
904	12471	676572
905	12489	676784
906	12501	676681
907	12513	676570
908	12529	676663
909	12541	676548
910	12556	676603
911	12566	676377
912	12576	676194
913	12593	676319
914	12601	676012
915	12613	675870
916	12629	676020
917	12653	676525
918	12678	677121
919	12711	678139
920	12727	678212
921	12738	678046
922	12751	678018
923	12761	677818
924	12781	678106
925	12792	677962
926	12802	677753
927	12818	677855
928	12831	677750
929	12844	677701
930	12864	678046
931	12876	677914
932	12893	678079
933	12908	678130
934	12919	677977
935	12933	677977
936	12947	677961
937	12966	678234
938	12979	678157
939	12993	678137
940	13008	678193
941	13021	678140
942	13034	678089
943	13050	678171
944	13065	678253
945	13077	678145
946	13091	678128
947	13106	678146
948	13118	678071
949	13136	678233
950	13150	678243
951	13163	678215
952	13176	678136
953	13188	678012
954	13198	677844
955	13212	677800
956	13227	677847
957	13242	677893
958	13257	677938
959	13269	677849
960	13283	677823
961	13297	677837
962	13309	677717
963	13320	677586
964	13332	677461
965	13343	677301
966	13354	677134
967	13364	676940
968	13378	676968
969	13390	676821
970	13401	676681
971	13407	676269
972	13419	676152
973	13429	675962
974	13440	675802
975	13449	675541
976	13463	675561
977	13480	675683
978	13497	675836
979	13505	675548
980	13517	675429
981	13527	675226
982	13536	675012
983	13546	674816
984	13556	674599
985	13568	674470
986	13580	674381
987	13594	674388
988	13603	674121
989	13617	674145
990	13631	674109
991	13646	674166
992	13664	674361
993	13679	674426
994	13694	674454
995	13703	674218
996	13717	674202
997	13734	674354
998	13752	674559
999	13766	674572
1000	13777	674399
1001	13793	674499
1002	13804	674358
1003	13819	674425
1004	13830	674271
1005	13843	674183
1006	13855	674093
1007	13864	673877
1008	13872	673566
1009	13883	673427
1010	13893	673222
1011	13903	673017
1012	13919	673111
